country,region,theme,improvement,foa,int_outcome,foa_nlo1_effectiveness,when_int_outcome,achieved_int_outcome
Afghanistan,Asia and the Pacific,Energy,Energy planning and inform policies to meet future energy needs,Energy planning,Curricula in new professions,Energy planning and inform policies to meet future energy needs,< 2000,1
Afghanistan,Asia and the Pacific,Energy,Energy planning and inform policies to meet future energy needs,Energy planning,Develop regulatory frameworks,Energy planning and inform policies to meet future energy needs,< 2000,1
Afghanistan,Asia and the Pacific,Energy,Energy planning and inform policies to meet future energy needs,Energy planning,Introduce new technologies,Energy planning and inform policies to meet future energy needs,< 2000,1
Afghanistan,Asia and the Pacific,Energy,Energy planning and inform policies to meet future energy needs,Energy planning,Produce data to inform policies,Energy planning and inform policies to meet future energy needs,< 2000,1
Afghanistan,Asia and the Pacific,Energy,Energy planning and inform policies to meet future energy needs,Energy planning,Upgraded institutions,Energy planning and inform policies to meet future energy needs,< 2000,1
Afghanistan,Asia and the Pacific,Energy,Knowledge on application and development of Small Modular Reactors (SMRs),Nuclear power reactors,Curricula in new professions,Knowledge on application and development of SMRs,< 2000,1
Afghanistan,Asia and the Pacific,Energy,Knowledge on application and development of Small Modular Reactors (SMRs),Nuclear power reactors,Develop regulatory frameworks,Knowledge on application and development of SMRs,< 2000,1
Afghanistan,Asia and the Pacific,Energy,Knowledge on application and development of Small Modular Reactors (SMRs),Nuclear power reactors,Introduce new technologies,Knowledge on application and development of SMRs,< 2000,1
Afghanistan,Asia and the Pacific,Energy,Knowledge on application and development of Small Modular Reactors (SMRs),Nuclear power reactors,Produce data to inform policies,Knowledge on application and development of SMRs,< 2000,1
Afghanistan,Asia and the Pacific,Energy,Knowledge on application and development of Small Modular Reactors (SMRs),Nuclear power reactors,Upgraded institutions,Knowledge on application and development of SMRs,< 2000,1
Afghanistan,Asia and the Pacific,Energy,"Safe and sustainable introduction, operation, and lifetime management of nuclear power plant/ nuclear fuel cycle",Introduction of nuclear power,Curricula in new professions,Safe introduction operation and lifetime management of nuclear power plant,< 2000,1
Afghanistan,Asia and the Pacific,Energy,"Safe and sustainable introduction, operation, and lifetime management of nuclear power plant/ nuclear fuel cycle",Introduction of nuclear power,Develop regulatory frameworks,Safe introduction operation and lifetime management of nuclear power plant,< 2000,1
Afghanistan,Asia and the Pacific,Energy,"Safe and sustainable introduction, operation, and lifetime management of nuclear power plant/ nuclear fuel cycle",Introduction of nuclear power,Introduce new technologies,Safe introduction operation and lifetime management of nuclear power plant,< 2000,1
Afghanistan,Asia and the Pacific,Energy,"Safe and sustainable introduction, operation, and lifetime management of nuclear power plant/ nuclear fuel cycle",Introduction of nuclear power,Produce data to inform policies,Safe introduction operation and lifetime management of nuclear power plant,< 2000,1
Afghanistan,Asia and the Pacific,Energy,"Safe and sustainable introduction, operation, and lifetime management of nuclear power plant/ nuclear fuel cycle",Introduction of nuclear power,Upgraded institutions,Safe introduction operation and lifetime management of nuclear power plant,< 2000,1
Afghanistan,Asia and the Pacific,Food and Agriculture,Crops with increased productivity and/or climate resilience properties,Crop production,Curricula in new professions,Mutated crops with increased productivity and/or climate resilience properties,2005-2009,1
Afghanistan,Asia and the Pacific,Food and Agriculture,Crops with increased productivity and/or climate resilience properties,Crop production,Develop regulatory frameworks,Mutated crops with increased productivity and/or climate resilience properties,2000-2004,1
Afghanistan,Asia and the Pacific,Food and Agriculture,Crops with increased productivity and/or climate resilience properties,Crop production,Introduce new technologies,Mutated crops with increased productivity and/or climate resilience properties,< 2000,1
Afghanistan,Asia and the Pacific,Food and Agriculture,Crops with increased productivity and/or climate resilience properties,Crop production,Produce data to inform policies,Mutated crops with increased productivity and/or climate resilience properties,2005-2009,1
Afghanistan,Asia and the Pacific,Food and Agriculture,Crops with increased productivity and/or climate resilience properties,Crop production,Upgraded institutions,Mutated crops with increased productivity and/or climate resilience properties,2005-2009,1
Afghanistan,Asia and the Pacific,Food and Agriculture,Detection and control of major insect pests of Agricultural and Veterinary importance,Insect pest control,Curricula in new professions,Detection and control of major insect pests of Agricultural and Veterinary importance,< 2000,1
Afghanistan,Asia and the Pacific,Food and Agriculture,Detection and control of major insect pests of Agricultural and Veterinary importance,Insect pest control,Develop regulatory frameworks,Detection and control of major insect pests of Agricultural and Veterinary importance,< 2000,1
Afghanistan,Asia and the Pacific,Food and Agriculture,Detection and control of major insect pests of Agricultural and Veterinary importance,Insect pest control,Introduce new technologies,Detection and control of major insect pests of Agricultural and Veterinary importance,< 2000,1
