region,theme,total,impact,value,prop
Africa,Energy,70,Improve energy planning to meet future energy needs,64,0.914285714285714
Africa,Energy,70,Support advanced energy production and safe introduction/operation of nuclear power/nuclear fuel cycle in the energy mix,26,0.371428571428571
Africa,Food and Agriculture,198,Improve food safety and quality,77,0.388888888888889
Africa,Food and Agriculture,198,Increase Agricultural productivity,107,0.540404040404041
Africa,Food and Agriculture,198,Increase Livestock productivity,75,0.378787878787879
Africa,Health and Nutrition,194,Expand Healthcare Services for cancer treatment and other NCDs,97,0.5
Africa,Health and Nutrition,194,Improve effective diagnosis and treatment of infectious diseases,56,0.288659793814433
Africa,Health and Nutrition,194,Improve effectiveness of nutrition programmes interventions and practices,56,0.288659793814433
Africa,Health and Nutrition,194,Improve existing health services for diagnosis and treatment of cancer and other NCDs,138,0.711340206185567
Africa,Industrial Applications/Radiation technology,76,"Improve efficiency, safety and quality of industrial process",43,0.565789473684211
Africa,Industrial Applications/Radiation technology,76,"Improve quality, reliability and compatibility of measurements results",43,0.565789473684211
Africa,Industrial Applications/Radiation technology,76,Improve research and innovation in industrial practices,40,0.526315789473684
Africa,Safety and Security,199,"Effective radiation protection on the use of ionizing radiation in energy production, medicine, industry and research",118,0.592964824120603
Africa,Safety and Security,199,Strong and sustainable nuclear and radiation safety framework,141,0.708542713567839
Africa,Water and the Environment,87,"Assess impact of pollution in land-air, costal ecosystems and oceans",39,0.448275862068966
Africa,Water and the Environment,87,Improved quality of freshwater systems,39,0.448275862068966
Africa,Water and the Environment,87,"Monitor effectiveness of remedial action in cobating land, air, costal ecosystems and ocean pollution",23,0.264367816091954
Africa,Water and the Environment,87,Reduction in contaminant concentration and increase in quality of drinking water,35,0.402298850574713
Asia and the Pacific,Energy,34,Improve energy planning to meet future energy needs,25,0.735294117647059
Asia and the Pacific,Energy,34,Support advanced energy production and safe introduction/operation of nuclear power/nuclear fuel cycle in the energy mix,17,0.5
Asia and the Pacific,Food and Agriculture,156,Improve food safety and quality,86,0.551282051282051
Asia and the Pacific,Food and Agriculture,156,Increase Agricultural productivity,90,0.576923076923077
Asia and the Pacific,Food and Agriculture,156,Increase Livestock productivity,32,0.205128205128205
Asia and the Pacific,Health and Nutrition,153,Expand Healthcare Services for cancer treatment and other NCDs,72,0.470588235294118
Asia and the Pacific,Health and Nutrition,153,Improve effective diagnosis and treatment of infectious diseases,35,0.228758169934641
Asia and the Pacific,Health and Nutrition,153,Improve effectiveness of nutrition programmes interventions and practices,23,0.150326797385621
Asia and the Pacific,Health and Nutrition,153,Improve existing health services for diagnosis and treatment of cancer and other NCDs,120,0.784313725490196
Asia and the Pacific,Industrial Applications/Radiation technology,83,"Improve efficiency, safety and quality of industrial process",48,0.578313253012048
Asia and the Pacific,Industrial Applications/Radiation technology,83,"Improve quality, reliability and compatibility of measurements results",44,0.530120481927711
Asia and the Pacific,Industrial Applications/Radiation technology,83,Improve research and innovation in industrial practices,36,0.433734939759036
Asia and the Pacific,Safety and Security,113,"Effective radiation protection on the use of ionizing radiation in energy production, medicine, industry and research",73,0.646017699115044
