region,theme,total,input,value,prop
Africa,Energy,47,Development and or access to databases,18,0.382978723404255
Africa,Energy,47,Development of protocols and or national/regional guidelines,8,0.170212765957447
Africa,Energy,47,Enhanced professional development,29,0.617021276595745
Africa,Energy,47,Equipment and related training,24,0.51063829787234
Africa,Energy,47,Establishment of new services/new technologies,4,0.0851063829787234
Africa,Energy,47,Establishment of procedures and best practices,19,0.404255319148936
Africa,Energy,47,IAEA guidelines and/or codes of practice have been implemented or adopted,23,0.48936170212766
Africa,Energy,47,Participation in national trainng,36,0.765957446808511
Africa,Energy,47,Participation in regional trainng,39,0.829787234042553
Africa,Food and Agriculture,157,Development and or access to databases,41,0.261146496815287
Africa,Food and Agriculture,157,Development of protocols and or national/regional guidelines,51,0.32484076433121
Africa,Food and Agriculture,157,Enhanced professional development,96,0.611464968152866
Africa,Food and Agriculture,157,Equipment and related training,142,0.904458598726115
Africa,Food and Agriculture,157,Establishment of new services/new technologies,80,0.509554140127389
Africa,Food and Agriculture,157,Establishment of procedures and best practices,95,0.605095541401274
Africa,Food and Agriculture,157,IAEA guidelines and/or codes of practice have been implemented or adopted,78,0.496815286624204
Africa,Food and Agriculture,157,Participation in national trainng,102,0.64968152866242
Africa,Food and Agriculture,157,Participation in regional trainng,126,0.802547770700637
Africa,Health and Nutrition,134,Development and or access to databases,37,0.276119402985075
Africa,Health and Nutrition,134,Development of protocols and or national/regional guidelines,59,0.440298507462687
Africa,Health and Nutrition,134,Enhanced professional development,90,0.671641791044776
Africa,Health and Nutrition,134,Equipment and related training,119,0.888059701492537
Africa,Health and Nutrition,134,Establishment of new services/new technologies,70,0.522388059701493
Africa,Health and Nutrition,134,Establishment of procedures and best practices,89,0.664179104477612
Africa,Health and Nutrition,134,IAEA guidelines and/or codes of practice have been implemented or adopted,89,0.664179104477612
Africa,Health and Nutrition,134,Participation in national trainng,93,0.694029850746269
Africa,Health and Nutrition,134,Participation in regional trainng,115,0.858208955223881
Africa,Industrial Applications/Radiation technology,46,Development and or access to databases,12,0.260869565217391
Africa,Industrial Applications/Radiation technology,46,Development of protocols and or national/regional guidelines,19,0.41304347826087
Africa,Industrial Applications/Radiation technology,46,Enhanced professional development,31,0.673913043478261
Africa,Industrial Applications/Radiation technology,46,Equipment and related training,40,0.869565217391304
Africa,Industrial Applications/Radiation technology,46,Establishment of new services/new technologies,21,0.456521739130435
Africa,Industrial Applications/Radiation technology,46,Establishment of procedures and best practices,31,0.673913043478261
