sustain,value_sus,mechanism,region,theme,value,total,prop_sus,prop
Creation of new Institution,0,Develop new protocols,Africa,Energy,0,47,0.333333333333333,0.24
Delivery of regulatory activities,0,Develop regulatory frameworks,Africa,Energy,0,47,,0
Development of education programmes,0,Support professionalization,Africa,Energy,1,47,0.85,0.825
Improve quality of services,0,Develop new protocols,Africa,Energy,0,47,0.25,0.24
Improve technical Standards,0,Develop new protocols,Africa,Energy,0,47,0.416666666666667,0.24
Increased use of a new technology,0,Introduce new technologies,Africa,Energy,0,47,0.590909090909091,0.45945945945946
Join Global data Networks,0,Produce new data,Africa,Energy,0,47,0.272727272727273,0.482142857142857
More professionals in the workforce,0,Establish curricula in new profession,Africa,Energy,0,47,0.875,0.259259259259259
National programmes promoting new technology,0,Introduce new technologies,Africa,Energy,0,47,0.363636363636364,0.45945945945946
Procedures in alignment with international best practices,1,Improve quality of procedures,Africa,Energy,1,47,0.88,0.746666666666667
Safety and security issues are given high priority,0,Develop regulatory frameworks,Africa,Energy,0,47,,0
The support has not been consolidated yet,0,Develop new protocols,Africa,Energy,1,9,0,0.24
The support has not been consolidated yet,0,Establish curricula in new profession,Africa,Energy,1,7,0.125,0.259259259259259
The support has not been consolidated yet,0,Improve quality of procedures,Africa,Energy,1,28,0.12,0.746666666666667
The support has not been consolidated yet,0,Introduce new technologies,Africa,Energy,1,17,0.0454545454545455,0.45945945945946
The support has not been consolidated yet,0,Produce new data,Africa,Energy,1,18,0.0454545454545455,0.482142857142857
The support has not been consolidated yet,0,Support professionalization,Africa,Energy,1,33,0.15,0.825
Use of Data to inform policies,0,Produce new data,Africa,Energy,0,47,0.681818181818182,0.482142857142857
Creation of new Institution,0,Develop new protocols,Africa,Food and Agriculture,0,156,0.272151898734177,0.620938628158845
Delivery of regulatory activities,0,Develop regulatory frameworks,Africa,Food and Agriculture,0,156,,0
Development of education programmes,1,Support professionalization,Africa,Food and Agriculture,1,156,0.843137254901961,0.835820895522388
Improve quality of services,0,Develop new protocols,Africa,Food and Agriculture,0,156,0.335443037974684,0.620938628158845
Improve technical Standards,0,Develop new protocols,Africa,Food and Agriculture,0,156,0.367088607594937,0.620938628158845
Increased use of a new technology,0,Introduce new technologies,Africa,Food and Agriculture,0,156,0.560693641618497,0.84331797235023
Join Global data Networks,0,Produce new data,Africa,Food and Agriculture,0,156,0.380952380952381,0.60613810741688
More professionals in the workforce,0,Establish curricula in new profession,Africa,Food and Agriculture,0,156,0.933333333333333,0.196531791907514
National programmes promoting new technology,0,Introduce new technologies,Africa,Food and Agriculture,0,156,0.398843930635838,0.84331797235023
Procedures in alignment with international best practices,0,Improve quality of procedures,Africa,Food and Agriculture,0,156,0.896103896103896,0.716049382716049
Safety and security issues are given high priority,0,Develop regulatory frameworks,Africa,Food and Agriculture,0,156,,0
The support has not been consolidated yet,0,Develop new protocols,Africa,Food and Agriculture,1,86,0.0253164556962025,0.620938628158845
The support has not been consolidated yet,1,Establish curricula in new profession,Africa,Food and Agriculture,1,17,0.0666666666666667,0.196531791907514
The support has not been consolidated yet,0,Improve quality of procedures,Africa,Food and Agriculture,1,87,0.103896103896104,0.716049382716049
The support has not been consolidated yet,0,Introduce new technologies,Africa,Food and Agriculture,1,122,0.0404624277456647,0.84331797235023
The support has not been consolidated yet,0,Produce new data,Africa,Food and Agriculture,1,79,0.0833333333333333,0.60613810741688
The support has not been consolidated yet,0,Support professionalization,Africa,Food and Agriculture,1,112,0.156862745098039,0.835820895522388
Use of Data to inform policies,0,Produce new data,Africa,Food and Agriculture,0,156,0.535714285714286,0.60613810741688
Creation of new Institution,1,Develop new protocols,Africa,Health and Nutrition,1,135,0.280254777070064,0.610878661087866
Delivery of regulatory activities,0,Develop regulatory frameworks,Africa,Health and Nutrition,0,135,,0
Development of education programmes,1,Support professionalization,Africa,Health and Nutrition,1,135,0.878378378378378,0.865546218487395
Improve quality of services,1,Develop new protocols,Africa,Health and Nutrition,1,135,0.382165605095541,0.610878661087866
Improve technical Standards,1,Develop new protocols,Africa,Health and Nutrition,1,135,0.312101910828025,0.610878661087866
Increased use of a new technology,1,Introduce new technologies,Africa,Health and Nutrition,1,135,0.52112676056338,0.786885245901639
Join Global data Networks,1,Produce new data,Africa,Health and Nutrition,1,135,0.424242424242424,0.476635514018692
More professionals in the workforce,1,Establish curricula in new profession,Africa,Health and Nutrition,1,135,0.950819672131147,0.48314606741573
National programmes promoting new technology,1,Introduce new technologies,Africa,Health and Nutrition,1,135,0.429577464788732,0.786885245901639
Procedures in alignment with international best practices,1,Improve quality of procedures,Africa,Health and Nutrition,1,135,0.908045977011494,0.836206896551724
Safety and security issues are given high priority,0,Develop regulatory frameworks,Africa,Health and Nutrition,0,135,,0
The support has not been consolidated yet,0,Develop new protocols,Africa,Health and Nutrition,1,73,0.0254777070063694,0.610878661087866
The support has not been consolidated yet,0,Establish curricula in new profession,Africa,Health and Nutrition,1,43,0.0491803278688525,0.48314606741573
The support has not been consolidated yet,0,Improve quality of procedures,Africa,Health and Nutrition,1,97,0.0919540229885057,0.836206896551724
The support has not been consolidated yet,0,Introduce new technologies,Africa,Health and Nutrition,1,96,0.0492957746478873,0.786885245901639
The support has not been consolidated yet,0,Produce new data,Africa,Health and Nutrition,1,51,0.0454545454545455,0.476635514018692
The support has not been consolidated yet,0,Support professionalization,Africa,Health and Nutrition,1,103,0.121621621621622,0.865546218487395
Use of Data to inform policies,1,Produce new data,Africa,Health and Nutrition,1,135,0.53030303030303,0.476635514018692
Creation of new Institution,0,Develop new protocols,Africa,Industrial Applications/Radiation technology,0,46,0.309090909090909,0.613496932515337
Delivery of regulatory activities,0,Develop regulatory frameworks,Africa,Industrial Applications/Radiation technology,0,46,,0
Development of education programmes,1,Support professionalization,Africa,Industrial Applications/Radiation technology,1,46,0.892857142857143,0.864197530864198
Improve quality of services,0,Develop new protocols,Africa,Industrial Applications/Radiation technology,0,46,0.345454545454545,0.613496932515337
Improve technical Standards,0,Develop new protocols,Africa,Industrial Applications/Radiation technology,0,46,0.309090909090909,0.613496932515337
Increased use of a new technology,0,Introduce new technologies,Africa,Industrial Applications/Radiation technology,0,46,0.531914893617021,0.71900826446281
Join Global data Networks,0,Produce new data,Africa,Industrial Applications/Radiation technology,1,46,0.296296296296296,0.557522123893805
More professionals in the workforce,1,Establish curricula in new profession,Africa,Industrial Applications/Radiation technology,1,46,0.875,0.491803278688525
National programmes promoting new technology,0,Introduce new technologies,Africa,Industrial Applications/Radiation technology,0,46,0.404255319148936,0.71900826446281
Procedures in alignment with international best practices,0,Improve quality of procedures,Africa,Industrial Applications/Radiation technology,0,46,0.961538461538461,0.805194805194805
Safety and security issues are given high priority,0,Develop regulatory frameworks,Africa,Industrial Applications/Radiation technology,0,46,,0
The support has not been consolidated yet,0,Develop new protocols,Africa,Industrial Applications/Radiation technology,1,25,0.0363636363636364,0.613496932515337
The support has not been consolidated yet,0,Establish curricula in new profession,Africa,Industrial Applications/Radiation technology,1,15,0.125,0.491803278688525
The support has not been consolidated yet,0,Improve quality of procedures,Africa,Industrial Applications/Radiation technology,1,31,0.0384615384615385,0.805194805194805
The support has not been consolidated yet,0,Introduce new technologies,Africa,Industrial Applications/Radiation technology,1,29,0.0638297872340426,0.71900826446281
The support has not been consolidated yet,0,Produce new data,Africa,Industrial Applications/Radiation technology,1,21,0.111111111111111,0.557522123893805
The support has not been consolidated yet,0,Support professionalization,Africa,Industrial Applications/Radiation technology,1,35,0.107142857142857,0.864197530864198
Use of Data to inform policies,1,Produce new data,Africa,Industrial Applications/Radiation technology,1,46,0.592592592592593,0.557522123893805
Creation of new Institution,1,Develop new protocols,Africa,Safety and Security,1,179,0.186335403726708,0.617322834645669
Delivery of regulatory activities,1,Develop regulatory frameworks,Africa,Safety and Security,1,179,0.523809523809524,0.852
Development of education programmes,1,Support professionalization,Africa,Safety and Security,1,179,0.916666666666667,0.856230031948882
Improve quality of services,1,Develop new protocols,Africa,Safety and Security,1,179,0.428571428571429,0.617322834645669
Improve technical Standards,1,Develop new protocols,Africa,Safety and Security,1,179,0.366459627329193,0.617322834645669
Increased use of a new technology,1,Introduce new technologies,Africa,Safety and Security,1,179,0.552941176470588,0.454976303317536
Join Global data Networks,0,Produce new data,Africa,Safety and Security,0,179,0.385714285714286,0.424460431654676
More professionals in the workforce,0,Establish curricula in new profession,Africa,Safety and Security,1,179,0.976744186046512,0.342592592592593
National programmes promoting new technology,1,Introduce new technologies,Africa,Safety and Security,1,179,0.423529411764706,0.454976303317536
Procedures in alignment with international best practices,1,Improve quality of procedures,Africa,Safety and Security,1,179,0.972727272727273,0.845161290322581
Safety and security issues are given high priority,0,Develop regulatory frameworks,Africa,Safety and Security,1,179,0.467532467532468,0.852
The support has not been consolidated yet,0,Develop new protocols,Africa,Safety and Security,1,98,0.0186335403726708,0.617322834645669
The support has not been consolidated yet,0,Develop regulatory frameworks,Africa,Safety and Security,1,142,0.00865800865800866,0.852
The support has not been consolidated yet,0,Establish curricula in new profession,Africa,Safety and Security,1,37,0.0232558139534884,0.342592592592593
The support has not been consolidated yet,0,Improve quality of procedures,Africa,Safety and Security,1,131,0.0272727272727273,0.845161290322581
The support has not been consolidated yet,0,Introduce new technologies,Africa,Safety and Security,1,64,0.0235294117647059,0.454976303317536
The support has not been consolidated yet,0,Produce new data,Africa,Safety and Security,1,59,0.0428571428571429,0.424460431654676
The support has not been consolidated yet,0,Support professionalization,Africa,Safety and Security,1,134,0.0833333333333333,0.856230031948882
Use of Data to inform policies,0,Produce new data,Africa,Safety and Security,0,179,0.571428571428571,0.424460431654676
Creation of new Institution,0,Develop new protocols,Africa,Water and the Environment,0,40,0.333333333333333,0.363636363636364
Delivery of regulatory activities,0,Develop regulatory frameworks,Africa,Water and the Environment,0,40,,0
Development of education programmes,0,Support professionalization,Africa,Water and the Environment,1,40,1,0.787878787878788
Improve quality of services,0,Develop new protocols,Africa,Water and the Environment,0,40,0.380952380952381,0.363636363636364
Improve technical Standards,0,Develop new protocols,Africa,Water and the Environment,0,40,0.285714285714286,0.363636363636364
Increased use of a new technology,0,Introduce new technologies,Africa,Water and the Environment,1,40,0.59375,0.714285714285714
Join Global data Networks,0,Produce new data,Africa,Water and the Environment,0,40,0.428571428571429,0.575757575757576
More professionals in the workforce,1,Establish curricula in new profession,Africa,Water and the Environment,0,40,1,0.181818181818182
National programmes promoting new technology,1,Introduce new technologies,Africa,Water and the Environment,1,40,0.40625,0.714285714285714
Procedures in alignment with international best practices,1,Improve quality of procedures,Africa,Water and the Environment,1,40,0.947368421052632,0.75
Safety and security issues are given high priority,0,Develop regulatory frameworks,Africa,Water and the Environment,0,40,,0
The support has not been consolidated yet,0,Develop new protocols,Africa,Water and the Environment,1,12,0,0.363636363636364
The support has not been consolidated yet,0,Establish curricula in new profession,Africa,Water and the Environment,1,4,0,0.181818181818182
The support has not been consolidated yet,0,Improve quality of procedures,Africa,Water and the Environment,1,24,0.0526315789473684,0.75
The support has not been consolidated yet,0,Introduce new technologies,Africa,Water and the Environment,1,25,0,0.714285714285714
The support has not been consolidated yet,0,Produce new data,Africa,Water and the Environment,1,19,0,0.575757575757576
The support has not been consolidated yet,0,Support professionalization,Africa,Water and the Environment,1,26,0,0.787878787878788
Use of Data to inform policies,0,Produce new data,Africa,Water and the Environment,0,40,0.571428571428571,0.575757575757576
Creation of new Institution,0,Develop new protocols,Asia and the Pacific,Energy,0,18,0.142857142857143,0.275862068965517
Delivery of regulatory activities,0,Develop regulatory frameworks,Asia and the Pacific,Energy,0,18,,0
Development of education programmes,0,Support professionalization,Asia and the Pacific,Energy,0,18,1,0.8
Improve quality of services,0,Develop new protocols,Asia and the Pacific,Energy,0,18,0.428571428571429,0.275862068965517
Improve technical Standards,0,Develop new protocols,Asia and the Pacific,Energy,0,18,0.428571428571429,0.275862068965517
Increased use of a new technology,0,Introduce new technologies,Asia and the Pacific,Energy,0,18,0.545454545454545,0.545454545454545
Join Global data Networks,0,Produce new data,Asia and the Pacific,Energy,1,18,0.25,0.6
