interview__id,theme,dev_reason,region,foa,improvement,tcp_contribution,period,value,status,shrinked
051fff8fc4f34dd6b26e03da1b52a130,Health and Nutrition,,Africa,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,2.Contributed substantially,Before TCP,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
051fff8fc4f34dd6b26e03da1b52a130,Health and Nutrition,,Africa,Radiation oncology in cancer management,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,2.Contributed substantially,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
051fff8fc4f34dd6b26e03da1b52a130,Health and Nutrition,,Africa,Radioisotope and radiopharmaceuticals production for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,3.Impossible without TCP,Before TCP,No capacity,0.No Capacity,Improved
051fff8fc4f34dd6b26e03da1b52a130,Health and Nutrition,,Africa,Radioisotope and radiopharmaceuticals production for medical applications,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,3.Impossible without TCP,2023,Services/procedure/programme undergoing EXPANSION,3.Expansion,Improved
062bdf8889274c75b8936a0d6b43a3bf,Food and Agriculture,,Asia and the Pacific,Insect pest control,Detection and control of major insect pests of Agricultural and Veterinary importance,1.To some extent,Before TCP,No capacity,0.No Capacity,Improved
062bdf8889274c75b8936a0d6b43a3bf,Food and Agriculture,,Asia and the Pacific,Insect pest control,Detection and control of major insect pests of Agricultural and Veterinary importance,1.To some extent,2023,EARLY STAGE of the services/procedure/programmes,1.Early Stage,Improved
1116580f962f4687ad094f6b49b8ab01,Safety and Security,,Africa,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,3.Impossible without TCP,Before TCP,No capacity,0.No Capacity,Improved
1116580f962f4687ad094f6b49b8ab01,Safety and Security,,Africa,Governtmental and regulatry infrastructure for radiation safety,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,3.Impossible without TCP,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
1116580f962f4687ad094f6b49b8ab01,Safety and Security,,Africa,Radiation protection in medical uses of ionizing radiation,"Radiation protection of workers, patients, public and environment.",3.Impossible without TCP,Before TCP,No capacity,0.No Capacity,Improved
1116580f962f4687ad094f6b49b8ab01,Safety and Security,,Africa,Radiation protection in medical uses of ionizing radiation,"Radiation protection of workers, patients, public and environment.",3.Impossible without TCP,2023,Services/procedure/programme OPERATIONAL,2.Operational,Improved
