country,theme,foa,outcome,int_outcome,when_outcome,when_int_outcome,achieved_outcome,region,improvement,foa_nlo1_effectiveness,achieved_int_outcome
Afghanistan,Energy,Energy planning,Adoption of regulatory frameworks,Develop regulatory frameworks,< 2000,< 2000,1,Asia and the Pacific,Energy planning and inform policies to meet future energy needs,Energy planning and inform policies to meet future energy needs,1
Afghanistan,Energy,Energy planning,Creation of new Institution,Upgraded institutions,< 2000,< 2000,1,Asia and the Pacific,Energy planning and inform policies to meet future energy needs,Energy planning and inform policies to meet future energy needs,1
Afghanistan,Energy,Energy planning,Increased used of new technologies,Introduce new technologies,< 2000,< 2000,1,Asia and the Pacific,Energy planning and inform policies to meet future energy needs,Energy planning and inform policies to meet future energy needs,1
Afghanistan,Energy,Energy planning,New profession recognized,Curricula in new professions,< 2000,< 2000,1,Asia and the Pacific,Energy planning and inform policies to meet future energy needs,Energy planning and inform policies to meet future energy needs,1
Afghanistan,Energy,Energy planning,Use of data to inform policies,Produce data to inform policies,< 2000,< 2000,1,Asia and the Pacific,Energy planning and inform policies to meet future energy needs,Energy planning and inform policies to meet future energy needs,1
Afghanistan,Energy,Nuclear power reactors,Adoption of regulatory frameworks,Develop regulatory frameworks,< 2000,< 2000,1,Asia and the Pacific,Knowledge on application and development of Small Modular Reactors (SMRs),Knowledge on application and development of SMRs,1
Afghanistan,Energy,Nuclear power reactors,Creation of new Institution,Upgraded institutions,< 2000,< 2000,1,Asia and the Pacific,Knowledge on application and development of Small Modular Reactors (SMRs),Knowledge on application and development of SMRs,1
Afghanistan,Energy,Nuclear power reactors,Increased used of new technologies,Introduce new technologies,< 2000,< 2000,1,Asia and the Pacific,Knowledge on application and development of Small Modular Reactors (SMRs),Knowledge on application and development of SMRs,1
Afghanistan,Energy,Nuclear power reactors,New profession recognized,Curricula in new professions,< 2000,< 2000,1,Asia and the Pacific,Knowledge on application and development of Small Modular Reactors (SMRs),Knowledge on application and development of SMRs,1
Afghanistan,Energy,Nuclear power reactors,Use of data to inform policies,Produce data to inform policies,< 2000,< 2000,1,Asia and the Pacific,Knowledge on application and development of Small Modular Reactors (SMRs),Knowledge on application and development of SMRs,1
Afghanistan,Energy,Introduction of nuclear power,Adoption of regulatory frameworks,Develop regulatory frameworks,< 2000,< 2000,1,Asia and the Pacific,"Safe and sustainable introduction, operation, and lifetime management of nuclear power plant/ nuclear fuel cycle",Safe introduction operation and lifetime management of nuclear power plant,1
Afghanistan,Energy,Introduction of nuclear power,Creation of new Institution,Upgraded institutions,< 2000,< 2000,1,Asia and the Pacific,"Safe and sustainable introduction, operation, and lifetime management of nuclear power plant/ nuclear fuel cycle",Safe introduction operation and lifetime management of nuclear power plant,1
Afghanistan,Energy,Introduction of nuclear power,Increased used of new technologies,Introduce new technologies,< 2000,< 2000,1,Asia and the Pacific,"Safe and sustainable introduction, operation, and lifetime management of nuclear power plant/ nuclear fuel cycle",Safe introduction operation and lifetime management of nuclear power plant,1
Afghanistan,Energy,Introduction of nuclear power,New profession recognized,Curricula in new professions,< 2000,< 2000,1,Asia and the Pacific,"Safe and sustainable introduction, operation, and lifetime management of nuclear power plant/ nuclear fuel cycle",Safe introduction operation and lifetime management of nuclear power plant,1
Afghanistan,Energy,Introduction of nuclear power,Use of data to inform policies,Produce data to inform policies,< 2000,< 2000,1,Asia and the Pacific,"Safe and sustainable introduction, operation, and lifetime management of nuclear power plant/ nuclear fuel cycle",Safe introduction operation and lifetime management of nuclear power plant,1
Afghanistan,Food and Agriculture,Crop production,Adoption of regulatory frameworks,Develop regulatory frameworks,< 2000,2000-2004,1,Asia and the Pacific,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,1
Afghanistan,Food and Agriculture,Crop production,Creation of new Institution,Upgraded institutions,< 2000,2005-2009,1,Asia and the Pacific,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,1
