id,country,theme,foa,when,achieved,level,indicator,region,improvement,foa_nlo1_effectiveness,id_outcome
A1,Afghanistan,FOOD and AGRICULTURE,Crop production,< 2000,1,outcome,Adoption of regulatory frameworks,Asia and the Pacific,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Develop regulatory frameworks
A1,Afghanistan,FOOD and AGRICULTURE,Crop production,2000-2004,1,int_outcome,Develop regulatory frameworks,Asia and the Pacific,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Develop regulatory frameworks
A2,Afghanistan,FOOD and AGRICULTURE,Crop production,< 2000,1,outcome,Creation of new Institution,Asia and the Pacific,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Upgraded institutions
A2,Afghanistan,FOOD and AGRICULTURE,Crop production,2005-2009,1,int_outcome,Upgraded institutions,Asia and the Pacific,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Upgraded institutions
A3,Afghanistan,FOOD and AGRICULTURE,Crop production,< 2000,1,outcome,Increased used of new technologies,Asia and the Pacific,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Introduce new technologies
A3,Afghanistan,FOOD and AGRICULTURE,Crop production,< 2000,1,int_outcome,Introduce new technologies,Asia and the Pacific,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Introduce new technologies
A4,Afghanistan,FOOD and AGRICULTURE,Crop production,< 2000,1,outcome,New profession recognized,Asia and the Pacific,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Curricula in new professions
A4,Afghanistan,FOOD and AGRICULTURE,Crop production,2005-2009,1,int_outcome,Curricula in new professions,Asia and the Pacific,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Curricula in new professions
A5,Afghanistan,FOOD and AGRICULTURE,Crop production,2000-2004,1,outcome,Use of data to inform policies,Asia and the Pacific,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Produce data to inform policies
A5,Afghanistan,FOOD and AGRICULTURE,Crop production,2005-2009,1,int_outcome,Produce data to inform policies,Asia and the Pacific,Crops with increased productivity and/or climate resilience properties,Mutated crops with increased productivity and/or climate resilience properties,Produce data to inform policies
A6,Afghanistan,FOOD and AGRICULTURE,Insect pest control,< 2000,1,outcome,Adoption of regulatory frameworks,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Develop regulatory frameworks
A6,Afghanistan,FOOD and AGRICULTURE,Insect pest control,< 2000,1,int_outcome,Develop regulatory frameworks,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Develop regulatory frameworks
A7,Afghanistan,FOOD and AGRICULTURE,Insect pest control,< 2000,1,outcome,Creation of new Institution,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Upgraded institutions
A7,Afghanistan,FOOD and AGRICULTURE,Insect pest control,< 2000,1,int_outcome,Upgraded institutions,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Upgraded institutions
A8,Afghanistan,FOOD and AGRICULTURE,Insect pest control,< 2000,1,outcome,Increased used of new technologies,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Introduce new technologies
A8,Afghanistan,FOOD and AGRICULTURE,Insect pest control,< 2000,1,int_outcome,Introduce new technologies,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Introduce new technologies
A9,Afghanistan,FOOD and AGRICULTURE,Insect pest control,< 2000,1,outcome,New profession recognized,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Curricula in new professions
A9,Afghanistan,FOOD and AGRICULTURE,Insect pest control,< 2000,1,int_outcome,Curricula in new professions,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Curricula in new professions
A10,Afghanistan,FOOD and AGRICULTURE,Insect pest control,< 2000,1,outcome,Use of data to inform policies,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Produce data to inform policies
A10,Afghanistan,FOOD and AGRICULTURE,Insect pest control,< 2000,1,int_outcome,Produce data to inform policies,Asia and the Pacific,Detection and control of major insect pests of Agricultural and Veterinary importance,Detection and control of major insect pests of Agricultural and Veterinary importance,Produce data to inform policies
A11,Afghanistan,FOOD and AGRICULTURE,Food safety,< 2000,1,outcome,Adoption of regulatory frameworks,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,Develop regulatory frameworks
A11,Afghanistan,FOOD and AGRICULTURE,Food safety,< 2000,1,int_outcome,Develop regulatory frameworks,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,Develop regulatory frameworks
A12,Afghanistan,FOOD and AGRICULTURE,Food safety,< 2000,1,outcome,Creation of new Institution,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,Upgraded institutions
A12,Afghanistan,FOOD and AGRICULTURE,Food safety,< 2000,1,int_outcome,Upgraded institutions,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,Upgraded institutions
A13,Afghanistan,FOOD and AGRICULTURE,Food safety,< 2000,1,outcome,Increased used of new technologies,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,Introduce new technologies
A13,Afghanistan,FOOD and AGRICULTURE,Food safety,< 2000,1,int_outcome,Introduce new technologies,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,Introduce new technologies
A14,Afghanistan,FOOD and AGRICULTURE,Food safety,< 2000,1,outcome,New profession recognized,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,Curricula in new professions
A14,Afghanistan,FOOD and AGRICULTURE,Food safety,< 2000,1,int_outcome,Curricula in new professions,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,Curricula in new professions
A15,Afghanistan,FOOD and AGRICULTURE,Food safety,< 2000,1,outcome,Use of data to inform policies,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,Produce data to inform policies
A15,Afghanistan,FOOD and AGRICULTURE,Food safety,< 2000,1,int_outcome,Produce data to inform policies,Asia and the Pacific,Food safety and quality control,Food safety and quality for protection of consumers,Produce data to inform policies
A16,Afghanistan,FOOD and AGRICULTURE,Livestock production,< 2000,1,outcome,Adoption of regulatory frameworks,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Develop regulatory frameworks
A16,Afghanistan,FOOD and AGRICULTURE,Livestock production,< 2000,1,int_outcome,Develop regulatory frameworks,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Develop regulatory frameworks
A17,Afghanistan,FOOD and AGRICULTURE,Livestock production,< 2000,1,outcome,Creation of new Institution,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Upgraded institutions
A17,Afghanistan,FOOD and AGRICULTURE,Livestock production,< 2000,1,int_outcome,Upgraded institutions,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Upgraded institutions
A18,Afghanistan,FOOD and AGRICULTURE,Livestock production,< 2000,1,outcome,Increased used of new technologies,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Introduce new technologies
A18,Afghanistan,FOOD and AGRICULTURE,Livestock production,< 2000,1,int_outcome,Introduce new technologies,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Introduce new technologies
A19,Afghanistan,FOOD and AGRICULTURE,Livestock production,< 2000,1,outcome,New profession recognized,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Curricula in new professions
A19,Afghanistan,FOOD and AGRICULTURE,Livestock production,< 2000,1,int_outcome,Curricula in new professions,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Curricula in new professions
A20,Afghanistan,FOOD and AGRICULTURE,Livestock production,< 2000,1,outcome,Use of data to inform policies,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Produce data to inform policies
A20,Afghanistan,FOOD and AGRICULTURE,Livestock production,< 2000,1,int_outcome,Produce data to inform policies,Asia and the Pacific,Sustainable animal production/livestock productivity,Sustainable animal production/livestock productivity,Produce data to inform policies
