country	counterpart	_quantity	_responsible	_webmode	cp_hidden
1	1001	-1	andres_int	1	1001
1	1002	-1	andres_int	1	1002
1	1003	-1	andres_int	1	1003
1	1004	-1	andres_int	1	1004
1	1005	-1	andres_int	1	1005
1	1006	-1	andres_int	1	1006
1	1007	-1	andres_int	1	1007
1	1008	-1	andres_int	1	1008
1	1009	-1	andres_int	1	1009
1	1010	-1	andres_int	1	1010
1	1011	-1	andres_int	1	1011
1	1012	-1	andres_int	1	1012
1	1013	-1	andres_int	1	1013
1	1014	-1	andres_int	1	1014
1	1015	-1	andres_int	1	1015
1	1016	-1	andres_int	1	1016
1	1017	-1	andres_int	1	1017
1	1018	-1	andres_int	1	1018
1	1019	-1	andres_int	1	1019
1	1020	-1	andres_int	1	1020
1	1021	-1	andres_int	1	1021
1	1022	-1	andres_int	1	1022
1	1023	-1	andres_int	1	1023
1	1024	-1	andres_int	1	1024
1	1025	-1	andres_int	1	1025
1	1026	-1	andres_int	1	1026
1	1027	-1	andres_int	1	1027
1	1028	-1	andres_int	1	1028
1	1029	-1	andres_int	1	1029
1	1030	-1	andres_int	1	1030
1	1031	-1	andres_int	1	1031
1	1032	-1	andres_int	1	1032
1	1033	-1	andres_int	1	1033
1	1034	-1	andres_int	1	1034
1	1035	-1	andres_int	1	1035
1	1036	-1	andres_int	1	1036
1	1037	-1	andres_int	1	1037
1	1038	-1	andres_int	1	1038
1	1039	-1	andres_int	1	1039
1	1040	-1	andres_int	1	1040
1	1041	-1	andres_int	1	1041
1	1042	-1	andres_int	1	1042
1	1043	-1	andres_int	1	1043
1	1044	-1	andres_int	1	1044
1	1045	-1	andres_int	1	1045
1	1046	-1	andres_int	1	1046
1	1047	-1	andres_int	1	1047
1	1048	-1	andres_int	1	1048
1	1049	-1	andres_int	1	1049
2	2001	-1	andres_int	1	2001
2	2002	-1	andres_int	1	2002
2	2003	-1	andres_int	1	2003
2	2004	-1	andres_int	1	2004
2	2005	-1	andres_int	1	2005
2	2006	-1	andres_int	1	2006
2	2007	-1	andres_int	1	2007
2	2008	-1	andres_int	1	2008
2	2009	-1	andres_int	1	2009
2	2010	-1	andres_int	1	2010
2	2011	-1	andres_int	1	2011
2	2012	-1	andres_int	1	2012
2	2013	-1	andres_int	1	2013
2	2014	-1	andres_int	1	2014
2	2015	-1	andres_int	1	2015
2	2016	-1	andres_int	1	2016
2	2017	-1	andres_int	1	2017
2	2018	-1	andres_int	1	2018
2	2019	-1	andres_int	1	2019
2	2020	-1	andres_int	1	2020
2	2021	-1	andres_int	1	2021
2	2022	-1	andres_int	1	2022
2	2023	-1	andres_int	1	2023
2	2024	-1	andres_int	1	2024
2	2025	-1	andres_int	1	2025
2	2026	-1	andres_int	1	2026
2	2027	-1	andres_int	1	2027
2	2028	-1	andres_int	1	2028
2	2029	-1	andres_int	1	2029
2	2030	-1	andres_int	1	2030
2	2031	-1	andres_int	1	2031
2	2032	-1	andres_int	1	2032
2	2033	-1	andres_int	1	2033
2	2034	-1	andres_int	1	2034
2	2035	-1	andres_int	1	2035
2	2036	-1	andres_int	1	2036
2	2037	-1	andres_int	1	2037
2	2038	-1	andres_int	1	2038
2	2039	-1	andres_int	1	2039
2	2040	-1	andres_int	1	2040
2	2041	-1	andres_int	1	2041
2	2042	-1	andres_int	1	2042
2	2043	-1	andres_int	1	2043
2	2044	-1	andres_int	1	2044
2	2045	-1	andres_int	1	2045
2	2046	-1	andres_int	1	2046
2	2047	-1	andres_int	1	2047
2	2048	-1	andres_int	1	2048
2	2049	-1	andres_int	1	2049
2	2050	-1	andres_int	1	2050
2	2051	-1	andres_int	1	2051
2	2052	-1	andres_int	1	2052
2	2053	-1	andres_int	1	2053
2	2054	-1	andres_int	1	2054
2	2055	-1	andres_int	1	2055
2	2056	-1	andres_int	1	2056
2	2057	-1	andres_int	1	2057
2	2058	-1	andres_int	1	2058
2	2059	-1	andres_int	1	2059
2	2061	-1	andres_int	1	2061
2	2062	-1	andres_int	1	2062
2	2063	-1	andres_int	1	2063
2	2064	-1	andres_int	1	2064
2	2065	-1	andres_int	1	2065
3	3001	-1	andres_int	1	3001
3	3002	-1	andres_int	1	3002
3	3003	-1	andres_int	1	3003
3	3004	-1	andres_int	1	3004
3	3005	-1	andres_int	1	3005
3	3006	-1	andres_int	1	3006
3	3007	-1	andres_int	1	3007
3	3008	-1	andres_int	1	3008
3	3009	-1	andres_int	1	3009
3	3010	-1	andres_int	1	3010
3	3011	-1	andres_int	1	3011
3	3012	-1	andres_int	1	3012
3	3013	-1	andres_int	1	3013
3	3014	-1	andres_int	1	3014
3	3015	-1	andres_int	1	3015
3	3016	-1	andres_int	1	3016
3	3017	-1	andres_int	1	3017
3	3018	-1	andres_int	1	3018
3	3019	-1	andres_int	1	3019
3	3020	-1	andres_int	1	3020
3	3021	-1	andres_int	1	3021
3	3022	-1	andres_int	1	3022
3	3023	-1	andres_int	1	3023
3	3024	-1	andres_int	1	3024
3	3025	-1	andres_int	1	3025
3	3026	-1	andres_int	1	3026
3	3027	-1	andres_int	1	3027
3	3028	-1	andres_int	1	3028
3	3029	-1	andres_int	1	3029
3	3030	-1	andres_int	1	3030
3	3031	-1	andres_int	1	3031
3	3032	-1	andres_int	1	3032
3	3033	-1	andres_int	1	3033
3	3034	-1	andres_int	1	3034
3	3035	-1	andres_int	1	3035
3	3036	-1	andres_int	1	3036
3	3037	-1	andres_int	1	3037
3	3038	-1	andres_int	1	3038
3	3039	-1	andres_int	1	3039
3	3040	-1	andres_int	1	3040
3	3041	-1	andres_int	1	3041
3	3042	-1	andres_int	1	3042
3	3043	-1	andres_int	1	3043
3	3044	-1	andres_int	1	3044
3	3045	-1	andres_int	1	3045
3	3046	-1	andres_int	1	3046
3	3047	-1	andres_int	1	3047
3	3048	-1	andres_int	1	3048
3	3049	-1	andres_int	1	3049
3	3050	-1	andres_int	1	3050
3	3051	-1	andres_int	1	3051
3	3052	-1	andres_int	1	3052
3	3053	-1	andres_int	1	3053
3	3054	-1	andres_int	1	3054
3	3055	-1	andres_int	1	3055
3	3056	-1	andres_int	1	3056
3	3057	-1	andres_int	1	3057
3	3058	-1	andres_int	1	3058
3	3059	-1	andres_int	1	3059
3	3060	-1	andres_int	1	3060
3	3061	-1	andres_int	1	3061
3	3062	-1	andres_int	1	3062
3	3063	-1	andres_int	1	3063
3	3064	-1	andres_int	1	3064
3	3065	-1	andres_int	1	3065
3	3066	-1	andres_int	1	3066
3	3067	-1	andres_int	1	3067
3	3068	-1	andres_int	1	3068
3	3069	-1	andres_int	1	3069
3	3070	-1	andres_int	1	3070
3	3071	-1	andres_int	1	3071
3	3072	-1	andres_int	1	3072
3	3073	-1	andres_int	1	3073
3	3074	-1	andres_int	1	3074
3	3076	-1	andres_int	1	3076
3	3077	-1	andres_int	1	3077
3	3078	-1	andres_int	1	3078
3	3079	-1	andres_int	1	3079
3	3080	-1	andres_int	1	3080
3	3081	-1	andres_int	1	3081
3	3082	-1	andres_int	1	3082
3	3083	-1	andres_int	1	3083
3	3084	-1	andres_int	1	3084
3	3085	-1	andres_int	1	3085
3	3086	-1	andres_int	1	3086
3	3087	-1	andres_int	1	3087
3	3088	-1	andres_int	1	3088
3	3089	-1	andres_int	1	3089
3	3090	-1	andres_int	1	3090
3	3091	-1	andres_int	1	3091
3	3092	-1	andres_int	1	3092
3	3093	-1	andres_int	1	3093
3	3094	-1	andres_int	1	3094
3	3095	-1	andres_int	1	3095
3	3096	-1	andres_int	1	3096
3	3097	-1	andres_int	1	3097
3	3098	-1	andres_int	1	3098
3	3099	-1	andres_int	1	3099
3	3100	-1	andres_int	1	3100
3	3101	-1	andres_int	1	3101
3	3102	-1	andres_int	1	3102
3	3103	-1	andres_int	1	3103
3	3104	-1	andres_int	1	3104
3	3105	-1	andres_int	1	3105
3	3106	-1	andres_int	1	3106
3	3107	-1	andres_int	1	3107
3	3108	-1	andres_int	1	3108
3	3109	-1	andres_int	1	3109
3	3110	-1	andres_int	1	3110
3	3111	-1	andres_int	1	3111
3	3112	-1	andres_int	1	3112
3	3113	-1	andres_int	1	3113
3	3114	-1	andres_int	1	3114
3	3115	-1	andres_int	1	3115
3	3116	-1	andres_int	1	3116
3	3117	-1	andres_int	1	3117
3	3118	-1	andres_int	1	3118
3	3119	-1	andres_int	1	3119
4	4001	-1	andres_int	1	4001
4	4002	-1	andres_int	1	4002
4	4003	-1	andres_int	1	4003
4	4004	-1	andres_int	1	4004
4	4005	-1	andres_int	1	4005
4	4006	-1	andres_int	1	4006
4	4007	-1	andres_int	1	4007
4	4008	-1	andres_int	1	4008
4	4009	-1	andres_int	1	4009
4	4010	-1	andres_int	1	4010
4	4011	-1	andres_int	1	4011
4	4012	-1	andres_int	1	4012
4	4013	-1	andres_int	1	4013
4	4014	-1	andres_int	1	4014
4	4015	-1	andres_int	1	4015
4	4016	-1	andres_int	1	4016
4	4017	-1	andres_int	1	4017
4	4018	-1	andres_int	1	4018
4	4019	-1	andres_int	1	4019
4	4020	-1	andres_int	1	4020
4	4021	-1	andres_int	1	4021
4	4022	-1	andres_int	1	4022
4	4023	-1	andres_int	1	4023
4	4024	-1	andres_int	1	4024
4	4025	-1	andres_int	1	4025
4	4026	-1	andres_int	1	4026
4	4027	-1	andres_int	1	4027
4	4028	-1	andres_int	1	4028
4	4029	-1	andres_int	1	4029
4	4030	-1	andres_int	1	4030
4	4031	-1	andres_int	1	4031
4	4032	-1	andres_int	1	4032
4	4033	-1	andres_int	1	4033
4	4034	-1	andres_int	1	4034
4	4035	-1	andres_int	1	4035
4	4036	-1	andres_int	1	4036
4	4037	-1	andres_int	1	4037
4	4038	-1	andres_int	1	4038
4	4039	-1	andres_int	1	4039
4	4040	-1	andres_int	1	4040
4	4041	-1	andres_int	1	4041
4	4042	-1	andres_int	1	4042
4	4043	-1	andres_int	1	4043
4	4044	-1	andres_int	1	4044
4	4045	-1	andres_int	1	4045
4	4046	-1	andres_int	1	4046
4	4047	-1	andres_int	1	4047
5	5001	-1	andres_int	1	5001
5	5002	-1	andres_int	1	5002
5	5003	-1	andres_int	1	5003
5	5004	-1	andres_int	1	5004
5	5005	-1	andres_int	1	5005
5	5006	-1	andres_int	1	5006
5	5007	-1	andres_int	1	5007
5	5008	-1	andres_int	1	5008
5	5009	-1	andres_int	1	5009
5	5010	-1	andres_int	1	5010
5	5011	-1	andres_int	1	5011
5	5012	-1	andres_int	1	5012
5	5013	-1	andres_int	1	5013
5	5014	-1	andres_int	1	5014
5	5015	-1	andres_int	1	5015
5	5016	-1	andres_int	1	5016
6	6001	-1	andres_int	1	6001
6	6002	-1	andres_int	1	6002
6	6003	-1	andres_int	1	6003
6	6004	-1	andres_int	1	6004
6	6005	-1	andres_int	1	6005
6	6006	-1	andres_int	1	6006
6	6007	-1	andres_int	1	6007
6	6008	-1	andres_int	1	6008
6	6009	-1	andres_int	1	6009
6	6010	-1	andres_int	1	6010
6	6011	-1	andres_int	1	6011
6	6012	-1	andres_int	1	6012
6	6013	-1	andres_int	1	6013
6	6014	-1	andres_int	1	6014
6	6015	-1	andres_int	1	6015
6	6016	-1	andres_int	1	6016
6	6017	-1	andres_int	1	6017
6	6018	-1	andres_int	1	6018
6	6019	-1	andres_int	1	6019
6	6020	-1	andres_int	1	6020
6	6021	-1	andres_int	1	6021
6	6022	-1	andres_int	1	6022
6	6023	-1	andres_int	1	6023
6	6024	-1	andres_int	1	6024
6	6025	-1	andres_int	1	6025
