country	counterpart	_quantity	_responsible	_webmode	cp_hidden
43	43034	-1	andres_int	1	43034
101	101058	-1	andres_int	1	101058
6	6013	-1	andres_int	1	6013
123	123044	-1	andres_int	1	123044
22	22107	-1	andres_int	1	22107
108	108032	-1	andres_int	1	108032
74	74015	-1	andres_int	1	74015
71	71007	-1	andres_int	1	71007
131	131040	-1	andres_int	1	131040
93	93046	-1	andres_int	1	93046
28	28040	-1	andres_int	1	28040
3	3072	-1	andres_int	1	3072
137	137004	-1	andres_int	1	137004
3	3009	-1	andres_int	1	3009
150	150097	-1	andres_int	1	150097
74	74010	-1	andres_int	1	74010
117	117003	-1	andres_int	1	117003
2	2050	-1	andres_int	1	2050
101	101107	-1	andres_int	1	101107
20	20048	-1	andres_int	1	20048
47	47077	-1	andres_int	1	47077
156	156095	-1	andres_int	1	156095
10	10039	-1	andres_int	1	10039
10	10003	-1	andres_int	1	10003
30	30013	-1	andres_int	1	30013
116	116010	-1	andres_int	1	116010
39	39075	-1	andres_int	1	39075
156	156097	-1	andres_int	1	156097
15	15044	-1	andres_int	1	15044
124	124051	-1	andres_int	1	124051
10	10021	-1	andres_int	1	10021
22	22003	-1	andres_int	1	22003
146	146096	-1	andres_int	1	146096
69	69168	-1	andres_int	1	69168
69	69057	-1	andres_int	1	69057
162	162090	-1	andres_int	1	162090
37	37071	-1	andres_int	1	37071
103	103070	-1	andres_int	1	103070
69	69053	-1	andres_int	1	69053
77	77035	-1	andres_int	1	77035
113	113133	-1	andres_int	1	113133
162	162099	-1	andres_int	1	162099
99	99105	-1	andres_int	1	99105
92	92083	-1	andres_int	1	92083
159	159054	-1	andres_int	1	159054
92	92022	-1	andres_int	1	92022
89	89011	-1	andres_int	1	89011
3	3074	-1	andres_int	1	3074
99	99083	-1	andres_int	1	99083
25	25017	-1	andres_int	1	25017
119	119121	-1	andres_int	1	119121
83	83033	-1	andres_int	1	83033
161	161128	-1	andres_int	1	161128
69	69145	-1	andres_int	1	69145
63	63078	-1	andres_int	1	63078
116	116020	-1	andres_int	1	116020
47	47028	-1	andres_int	1	47028
84	84016	-1	andres_int	1	84016
49	49113	-1	andres_int	1	49113
146	146031	-1	andres_int	1	146031
83	83019	-1	andres_int	1	83019
113	113131	-1	andres_int	1	113131
113	113194	-1	andres_int	1	113194
113	113199	-1	andres_int	1	113199
162	162030	-1	andres_int	1	162030
115	115083	-1	andres_int	1	115083
124	124082	-1	andres_int	1	124082
119	119004	-1	andres_int	1	119004
60	60034	-1	andres_int	1	60034
133	133033	-1	andres_int	1	133033
75	75030	-1	andres_int	1	75030
113	113112	-1	andres_int	1	113112
124	124078	-1	andres_int	1	124078
154	154026	-1	andres_int	1	154026
31	31033	-1	andres_int	1	31033
49	49114	-1	andres_int	1	49114
3	3065	-1	andres_int	1	3065
103	103023	-1	andres_int	1	103023
90	90045	-1	andres_int	1	90045
13	13134	-1	andres_int	1	13134
52	52033	-1	andres_int	1	52033
26	26024	-1	andres_int	1	26024
104	104021	-1	andres_int	1	104021
3	3070	-1	andres_int	1	3070
90	90033	-1	andres_int	1	90033
162	162056	-1	andres_int	1	162056
100	100052	-1	andres_int	1	100052
145	145034	-1	andres_int	1	145034
84	84031	-1	andres_int	1	84031
28	28081	-1	andres_int	1	28081
119	119041	-1	andres_int	1	119041
153	153042	-1	andres_int	1	153042
78	78005	-1	andres_int	1	78005
102	102014	-1	andres_int	1	102014
58	58003	-1	andres_int	1	58003
2	2038	-1	andres_int	1	2038
21	21067	-1	andres_int	1	21067
163	163003	-1	andres_int	1	163003
15	15024	-1	andres_int	1	15024
105	105055	-1	andres_int	1	105055
136	136012	-1	andres_int	1	136012
53	53111	-1	andres_int	1	53111
78	78062	-1	andres_int	1	78062
84	84027	-1	andres_int	1	84027
162	162149	-1	andres_int	1	162149
92	92128	-1	andres_int	1	92128
3	3090	-1	andres_int	1	3090
26	26033	-1	andres_int	1	26033
31	31022	-1	andres_int	1	31022
156	156071	-1	andres_int	1	156071
72	72010	-1	andres_int	1	72010
10	10011	-1	andres_int	1	10011
113	113076	-1	andres_int	1	113076
60	60081	-1	andres_int	1	60081
85	85031	-1	andres_int	1	85031
39	39030	-1	andres_int	1	39030
3	3013	-1	andres_int	1	3013
10	10004	-1	andres_int	1	10004
31	31014	-1	andres_int	1	31014
146	146154	-1	andres_int	1	146154
121	121009	-1	andres_int	1	121009
43	43065	-1	andres_int	1	43065
32	32147	-1	andres_int	1	32147
88	88039	-1	andres_int	1	88039
57	57011	-1	andres_int	1	57011
115	115022	-1	andres_int	1	115022
97	97049	-1	andres_int	1	97049
165	165040	-1	andres_int	1	165040
150	150118	-1	andres_int	1	150118
39	39020	-1	andres_int	1	39020
27	27002	-1	andres_int	1	27002
162	162071	-1	andres_int	1	162071
93	93010	-1	andres_int	1	93010
20	20024	-1	andres_int	1	20024
71	71093	-1	andres_int	1	71093
10	10041	-1	andres_int	1	10041
117	117058	-1	andres_int	1	117058
138	138050	-1	andres_int	1	138050
115	115087	-1	andres_int	1	115087
131	131043	-1	andres_int	1	131043
43	43054	-1	andres_int	1	43054
57	57005	-1	andres_int	1	57005
22	22034	-1	andres_int	1	22034
66	66075	-1	andres_int	1	66075
107	107007	-1	andres_int	1	107007
141	141169	-1	andres_int	1	141169
63	63080	-1	andres_int	1	63080
147	147025	-1	andres_int	1	147025
128	128003	-1	andres_int	1	128003
140	140093	-1	andres_int	1	140093
128	128009	-1	andres_int	1	128009
47	47042	-1	andres_int	1	47042
47	47053	-1	andres_int	1	47053
3	3109	-1	andres_int	1	3109
78	78052	-1	andres_int	1	78052
75	75039	-1	andres_int	1	75039
93	93011	-1	andres_int	1	93011
1	1016	-1	andres_int	1	1016
138	138013	-1	andres_int	1	138013
38	38036	-1	andres_int	1	38036
149	149030	-1	andres_int	1	149030
89	89017	-1	andres_int	1	89017
92	92133	-1	andres_int	1	92133
63	63064	-1	andres_int	1	63064
146	146006	-1	andres_int	1	146006
88	88082	-1	andres_int	1	88082
76	76003	-1	andres_int	1	76003
115	115055	-1	andres_int	1	115055
123	123026	-1	andres_int	1	123026
83	83007	-1	andres_int	1	83007
158	6186	-1	andres_int	1	6186
33	33160	-1	andres_int	1	33160
13	13099	-1	andres_int	1	13099
112	112013	-1	andres_int	1	112013
71	71111	-1	andres_int	1	71111
5	5015	-1	andres_int	1	5015
82	82002	-1	andres_int	1	82002
57	57032	-1	andres_int	1	57032
81	81036	-1	andres_int	1	81036
141	141157	-1	andres_int	1	141157
77	77054	-1	andres_int	1	77054
150	150030	-1	andres_int	1	150030
39	39089	-1	andres_int	1	39089
96	96038	-1	andres_int	1	96038
49	49073	-1	andres_int	1	49073
49	49105	-1	andres_int	1	49105
99	99045	-1	andres_int	1	99045
34	34061	-1	andres_int	1	34061
94	94035	-1	andres_int	1	94035
119	119001	-1	andres_int	1	119001
6	6025	-1	andres_int	1	6025
26	26022	-1	andres_int	1	26022
46	46002	-1	andres_int	1	46002
6	6073	-1	andres_int	1	6073
118	118131	-1	andres_int	1	118131
53	53080	-1	andres_int	1	53080
161	161115	-1	andres_int	1	161115
42	42019	-1	andres_int	1	42019
22	22142	-1	andres_int	1	22142
101	101097	-1	andres_int	1	101097
6	6161	-1	andres_int	1	6161
113	113214	-1	andres_int	1	113214
114	114002	-1	andres_int	1	114002
3	3079	-1	andres_int	1	3079
82	82006	-1	andres_int	1	82006
53	53023	-1	andres_int	1	53023
19	19063	-1	andres_int	1	19063
149	149034	-1	andres_int	1	149034
56	56007	-1	andres_int	1	56007
97	97010	-1	andres_int	1	97010
103	103037	-1	andres_int	1	103037
165	165022	-1	andres_int	1	165022
32	32015	-1	andres_int	1	32015
132	132058	-1	andres_int	1	132058
25	25003	-1	andres_int	1	25003
115	115018	-1	andres_int	1	115018
109	109047	-1	andres_int	1	109047
103	103087	-1	andres_int	1	103087
156	156028	-1	andres_int	1	156028
100	100024	-1	andres_int	1	100024
42	42049	-1	andres_int	1	42049
88	88075	-1	andres_int	1	88075
152	152030	-1	andres_int	1	152030
118	118056	-1	andres_int	1	118056
6	6160	-1	andres_int	1	6160
116	116005	-1	andres_int	1	116005
162	162125	-1	andres_int	1	162125
